Epoch,Train Loss,Val Loss,Train Accuracy,Val Accuracy
1,0.685071133689232,0.6740795477576877,0.546742209631728,0.5597826086956521
2,0.6684239640114328,0.666842299958934,0.5963172804532578,0.5597826086956521
3,0.6512469899215374,0.6588682623013206,0.6628895184135978,0.592391304347826
4,0.6366880828192821,0.6588056268899337,0.6855524079320113,0.592391304347826
5,0.6129701939588228,0.6782121127066405,0.7025495750708216,0.592391304347826
6,0.5582689262989898,0.7530360552279846,0.7422096317280453,0.5869565217391304
7,0.5169183826311452,0.9364561095185902,0.774787535410765,0.5815217391304348
8,0.46522279611390305,1.246008865211321,0.8059490084985836,0.5652173913043478
9,0.47020743048562547,1.1438314624778603,0.7889518413597734,0.5869565217391304
10,0.4160770186283771,1.0736950750908125,0.8101983002832862,0.592391304347826
11,0.39851983393893364,0.7191861550445142,0.831444759206799,0.6630434782608695
12,0.37623309126656723,0.9475822633375293,0.8286118980169972,0.6141304347826086
13,0.3533254855077598,1.1450710525007353,0.8385269121813032,0.6032608695652174
14,0.30644874397148153,1.0058308219456153,0.8796033994334278,0.657608695652174
15,0.35468478310884904,0.8994620934776638,0.8541076487252125,0.657608695652174
16,0.30661098443752643,1.4646167094292848,0.8810198300283286,0.592391304347826
17,0.3188537771235782,1.2570747328193292,0.8640226628895185,0.6141304347826086
18,0.3318112967034575,0.9486056872360085,0.8498583569405099,0.6304347826086957
19,0.27399690892473494,1.5353045291064873,0.8838526912181304,0.5815217391304348
20,0.30130477540891504,1.7902583422179779,0.8541076487252125,0.5760869565217391
21,0.2701388300309438,1.669967093889642,0.8923512747875354,0.5869565217391304
22,0.27075588365452147,1.9270626854090749,0.8895184135977338,0.5869565217391304
23,0.2509950893289982,1.9788630604642727,0.8909348441926346,0.5815217391304348
24,0.266374113370609,2.1041959316530465,0.8838526912181304,0.5815217391304348
25,0.256034834315689,2.2361823124051825,0.886685552407932,0.5869565217391304
26,0.2336626788205533,2.727826693801351,0.9079320113314449,0.5815217391304348
27,0.2363367455539217,3.02080028477054,0.9093484419263457,0.5706521739130435
28,0.2500509388227723,2.0436341145136594,0.8937677053824363,0.5978260869565217
29,0.23505959531065423,1.9091512690318506,0.8980169971671389,0.6086956521739131
30,0.226625126752232,2.0340728305239715,0.8951841359773371,0.6141304347826086
31,0.22352172607402965,2.5019935352535434,0.9036827195467423,0.5869565217391304
32,0.2157745888145382,2.414944314000541,0.9206798866855525,0.5869565217391304
33,0.19114860968279096,1.912270385660636,0.9235127478753542,0.5978260869565217
34,0.212334292130835,2.0374530157904425,0.9022662889518414,0.6032608695652174
